,company,description,exp,loc,salary,skills
121, SRS Infoway  ,,6,Hyderabad,,"['Unix, Ab Initio']"
122, ELEMENTS HR SERVICES PVT LTD  ,,5,Pune,,"['ab initio, Database']"
123, Headhuntersinc Consultancy Private Limited  ,,9,Chennai,2000000,"['ab initio, Abinitio Developer, design principles, ETL, Linux...']"
124, Headhuntersinc Consultancy Private Limited  ,,3,Chennai,2000000,"['Ab Initio, cognos, informatica, informatica developer, etl developer']"
125, Headhuntersinc Consultancy Private Limited  ,,3,Chennai,1800000,"['Ab Initio, Design Patterns, design principles, ETl, Linux, Shell Scripting,...']"
126, Experis IT Private Limited  ,Notice Period Must be within 15-20 days (Immediate joinee)-;Passport ...,3,"Pune, Bengaluru",,"['Ab Initio, Key Skills']"
127, Citibank  N.A  4.2(154 reviews)   ,Should have executed 2- 3 end to end projects of enterprise level applications;Must have good 5- 8 years ...,5,Pune,,"['Oracle, PLSQL, Ab Initio, Performance tuning, Coding...']"
128, Out Sourcing Company  ,,0,"Chennai, Hyderabad, Pune",400000,"['Informatica Power Center, ETL, Data Warehousing, Cognos, Datastage...']"
129, Out Sourcing Company  ,,0,Bengaluru,400000,"['Informatica Power Center, ETL, Data Warehousing, Cognos, Datastage...']"
130, Pioneer Financial  Management Services Ltd.  ,Should be having good database experience in any RDBMS;Strong ETL with Ab Initio hands on experience ...,3,Chennai(Sholinganallur),1200000,"['Unix, Ab Initio, ETL, ABINITIO, AB - INITIO']"
131, TRANSUNION GLOBAL TECHNOLOGY CENTER LLP  ,At least five (5) years experience within an IT environment;At least five (5) years experience with IT ...,9,Chennai,,"['solution design, technology solutions, it architecture, advanced analytics,...']"
132, BlackBuck Insights Private Limited  ,Our technologists work as a part of our technology delivery and consulting practice. Our developers work ...,3,"Mumbai, Bengaluru, Chennai, Gurgaon",,"['unix, ab initio, scope, system integration, linux, technical specifications...']"
133, Vodafone India Limited  4.2(2058 reviews)   ,,5,Pune,,"['Telecom, Ticketing, Data modeling, Teradata, Test cases, Ab Initio...']"
134, Vodafone India Limited  4.2(2058 reviews)   ,,5,Pune,,"['Teradata, Ab Initio, Agile, Subject Matter Expert, Oracle data integrator...']"
135, Vodafone India Limited  4.2(2058 reviews)   ,,3,Pune,,"['Oracle, Unix, Siebel, Business intelligence, Ab Initio, Troubleshooting...']"
136, Vodafone India Limited  4.2(2058 reviews)   ,,4,Pune,,"['Perl, Production support, Business intelligence, Ab Initio...']"
137, IFINTALENT GLOBAL PVT LTD  ,"Hi Everyone, We have openings ...",4,Pune,1000000,"['ETL Developer, Informatica, Ab Initio Informatica Etl Developer']"
138, Dell International Services India  Private Limited  4.1(468 reviews)   ,,1,Bengaluru,,"['Oracle, Unix, Linux, Informatica, Teradata, Business intelligence...']"
139, Accenture  4.0(4985 reviews)   ,Accenture Technology powers our clients businesses with innovative technologies established and emerging ...,4,Gurgaon,,"['SQL, Oracle, Teradata, Ab Initio, Business analysis, Unix shell scripting...']"
140, Accenture  4.0(4985 reviews)   ,Accenture Technology powers our clients businesses with innovative technologies established and emerging ...,2,Hyderabad,,"['SAP, Ab Initio, Business process, Scheduling, Outsourcing, Operations...']"
141, Wipro Ltd  3.7(3783 reviews)   ,You should have good experience in application of standard software development principles;You should ...,3,"Bengaluru, Bengaluru",,['Ab Initio Big Data Edition']
142, Vodafone India Limited  4.2(2058 reviews)   ,,4,Pune,,"['Oracle, Unix, Teradata, Ab Initio, RDBMS, Technical design...']"
143, Ad Astra Consultants Private Limited.  ,"Need to assist in multiple projects , and provide them some guidance and overview wherein required for ...",2,Delhi NCR,,"['ab initio, metaprogramming, pdl, database, script execution, abinitio, Ab -...']"
144, Allstate Solutions Private Limited  4.0(80 reviews)   ,"Consultant with 2-3 years of development experience in Abinitio, Oracle SQL, PL/SQL, and Unix ...",2,Bengaluru,,"['Ab Initio, Abinitio, Oracle SQL, PL / SQL, Unix, production support, ETL']"
145, Exusia - Startup  ,The candidate must be able to successfully communicate with internal teams as well as client personnel ...,4,Gurgaon,,"['Hdfs, Data Quality, Web Services, Ab Initio, Code Review, Technical Design,...']"
146, Savera IT Solutions P Ltd.  ,"Minimum 6-8 years of experience in software development, quality assurance, requirement analysis, ...",5,Hyderabad,,"['Unix, ETL, HR Consulting, Shell Scripting, Linux, Ab Initio...']"
147, Citibank  N.A  4.2(154 reviews)   ,Resource should have min 8 years of experience in Ab Initio Graph development and design;Proficient in ...,2,Pune,,"['Associate Vice President, Oracle, Unix, Linux, Web services, PLSQL...']"
148, Newt Global India Private Limited  ,"Must have 3-5 years hands-on experience with an ETL tool Abinitio 3.2.x, in a medium to large company ...",3,India,,"['Unix, SQL, Ab Initio, Teradata, ETL Tool, Shell Scripting...']"
149, Cybage Software Pvt. Ltd  3.6(30 reviews)   ,"An efficient data integration solution not only combines various existing islands of information, but ...",2,Pune,,"['unix, sql queries, oracle, etl, talend, dw, plsql, linux, ab initio...']"
150, Wipro Ltd  3.7(3783 reviews)   ,"Key skills required for the job are: Ab Initio Big Data Edition-L1 (Mandatory) As a Lead, you are ...",5,"Bengaluru, Bengaluru",,['Ab Initio Big Data Edition']
151, Wipro Ltd  3.7(3783 reviews)   ,You should have good experience in application of standard software development principles;You should ...,3,"Chennai, Chennai",,['Ab Initio Big Data Edition']
152, Citicorp Services India Pvt Ltd  3.7(80 reviews)   ,Resource should have min 7+ years of experience in Ab Initio Graph development and design;Proficient in ...,7,Pune(Kharadi),,"['ab initio, continuous graphs, continuous charts']"
153, ILABZ TECHNOLOGY LLP  ,Only immediate joiners / not working candidates are preferred;Experience: 3+ Yrs;Total Experience: ...,3,"Bengaluru, Chennai, Hyderabad",,"['Ab Initio, Abinitio Developer, abinitio programmer, initio programmer...']"
154, Future Focus Infotech Pvt. Ltd.  3.6(127 reviews)   ,We have urgent requirement of Ab Initio developer for Bangalore location;Experience:3 ...,3,Bengaluru,700000,"['Ab Initio, Abinitio Developer']"
155, ASAP Info Systems Pvt Ltd  ,Only immediate joiners / 7 Days / not working candidates are preferred;Experience:  2 - 8 yrs;Total ...,3,"Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Kolkata, Ahmedabad",,"['Ab Initio, datastage, microstrategy, cognos, abinitio, informatica']"
156, ASAP Info Systems Pvt Ltd  ,We are looking for only immediate and 10 days;Total Experience:;Relevant Experience:;Required Time to ...,3,"Bengaluru, Hyderabad",,"['Ab Initio, cognos, informatica, teradata, datastage']"
157, TEAMLEASE DIGITAL PRIVATE LIMITED  ,Total Experience:;Relevant Experience:;Required Time to Join(Notice Period):;Preferred Location: ...,3,Bengaluru,900000,['ab initio']
158, Adecco India Private Limited  4.1(121 reviews)   ,,2,Chennai,,"['Abinitio Developer, Unix']"
159, Anlage Infotech (I) Pvt. Ltd.  ,Experience with test automation;Should be Technically strong and well versed;ETL tool testing experience ...,5,Chennai,,"['ab initio, hp alm, ibm rational']"
160, Maintec Technologies Private Limited  ,Greetings from Maintec!! We have opening with one of our client for Bangalore/Pune.  Exp: ...,3,"Bengaluru, Pune",,['Ab Initio']
161, ILABZ TECHNOLOGY LLP  ,"Our deep understanding of business needs, and of the talent required to meet those needs, provides us ...",3,"Bengaluru, Chennai, Hyderabad",,"['Informatica, datastage, ascential datastage, Cognos, Ab Initio, Teradata...']"
162, Ad Astra Consultants  ,"Looking for someone who can join immediately or maximum 15 days;Need to assist in multiple projects , ...",3,"Delhi NCR, Gurgaon",,"['Ab Initio, Technical Documentation, Performance Tuning...']"
163, Maveric Systems Limited  3.7(46 reviews)   ,"Should have team handling experience;Hands on experience;-	Experience in Design and implementation of ...",9,Bengaluru,,"['Ab Initio, Team Leading, ETL Testing, ETL Developer']"
164, Citicorp Services India Pvt Ltd  3.7(80 reviews)   ,"Any other programming language (Java preferred) experience (5+ year);Experience in design, development ...",8,Chennai,,"['Unix Shell Scripting, Oracle, Hadoop, Spark, RDBMS, Big Data, Ab Initio...']"
165, Citicorp Services India Pvt Ltd  3.7(80 reviews)   ,Working experience with teams spread across many countries and time zones;Experience with AML monitoring ...,8,Pune,,"['Application Development, ETL development, AbInitio ETL, Oracle PL / SQL...']"
166, Premium  ,- Past experience to build proof of concepts using Big Data technologies to test various use cases ...,5,Chennai,,"['Spark, Hive, Hadoop, Mapreduce, Impala, Hdfs, Big Data, SCALA, Oracle...']"
167, Mphasis Limited  3.8(959 reviews)   ,Must have the ability to relate to both business and technical members of the team and possess excellent ...,4,Chennai,,"['PLSQL, Agile, Performance tuning, Coding, Unit testing, Data extraction...']"
168, Wipro Ltd  3.7(3783 reviews)   ,You should have good experience in application of standard software development principles;You should ...,3,"Pune, Pune",,['Ab Initio']
